
FUTRE-CMP-86.5 0UP 5% on 25/09/2020


18-Sep-2020	GRASIM	Sell	NSE	7	740.000


17-Sep-2020	INFTEC	Sell	NSE	6	1020.000
17-Sep-2020	LUPIN	Sell	NSE	5	1042.000

16-Sep-2020	LUPIN	Sell	NSE	5	1032.000
16-Sep-2020	STETEC	Sell	NSE	36	165.000

15-Sep-2020	ASHLEY	Sell	NSE	84	77.000
15-Sep-2020	HDFBAN	Buy	NSE	5	1060.000
15-Sep-2020	MOTSUM	Buy	NSE	40	120.000

14-Sep-2020	HCLTEC	Sell	NSE	7	800.000
14-Sep-2020	KECIN	Sell	NSE	18	346.000
14-Sep-2020	TCS	Sell	NSE	2	2442.000
14-Sep-2020	FUTRE	Buy	NSE	45	102.000

11-Sep-2020	PVRLIM	Buy	NSE	4	1242.000
11-Sep-2020	SBICAR	Sell	NSE	7	845.000

10-Sep-2020	BHAINF	Buy	NSE	24	200.000
10-Sep-2020	RELIND	Sell	NSE	2	2222.000

09-Sep-2020	INTAVI	Buy	NSE	4	1212.000
09-Sep-2020	ECLSER	Buy	NSE	7	705.000
09-Sep-2020	CANBAN	Buy	NSE	50	97.000

08-Sep-2020	ICIBAN	Buy	NSE	14	372.000
08-Sep-2020	AXIBAN	Buy	NSE	11	442.000
08-Sep-2020	INDHO	Buy	NSE	26	200.000
08-Sep-2020	UNIP	Buy	NSE	11	486.000
08-Sep-2020	HINDAL	Buy	NSE	28	180.000


07-Sep-2020	JUBLIF	Buy	NSE	6	782.000
07-Sep-2020	PVRLIM	Buy	NSE	4	1342.000
07-Sep-2020	MAHMAH	Buy	NSE	9	608.000
07-Sep-2020	GODIND	Buy	NSE	12	424.000
07-Sep-2020	HDFBAN	Buy	NSE	5	1102.000
07-Sep-2020	BHAINF	Sell	NSE	20	234.000
07-Sep-2020	BHAINF	Sell	NSE	20	232.000


04-Sep-2020	STETEC	Buy	NSE	36	146.000
04-Sep-2020	TATSTE	Buy	NSE	12	421.000
04-Sep-2020	RBLBAN	Buy	NSE	28	186.000
04-Sep-2020	BHAPET	Buy	NSE	12	402.000
04-Sep-2020	INDBA	Buy	NSE	8	605.000
04-Sep-2020	JINSP	Buy	NSE	25	210.000

03-Sep-2020	BHAINF	Sell	NSE	25	206.000
03-Sep-2020	MAXFIN	Sell	NSE	9	624.000
03-Sep-2020	INTAVI	Sel	NSE	4	1286.000

02-Sep-2020	ZEEENT	Sell	NSE	23	220.000
02-Sep-2020	TATMOT	Sell	NSE	35	150.000
02-Sep-2020	INDBA	Sell	NSE	8	626.000
02-Sep-2020	TECMAH	Sell	NSE	7	742.000

01-Sep-2020	BAJFI	Sell	NSE	2	3652.000
01-Sep-2020	INDBA	Buy	NSE	9	615.000
01-Sep-2020	BHAINF	Buy	NSE	25	190.000
01-Sep-2020	BHAINF	Buy	NSE	25	186.000

31-Aug-2020	HDFC	Sell	NSE	3	1906.000
31-Aug-2020	AXIBAN	Sell	NSE	11	500.050
31-Aug-2020	SHRTRA	Buy	NSE	7	700.000
31-Aug-2020	GODCON	Buy	NSE	7	650.000
31-Aug-2020	JUBLIF	Buy	NSE	7	765.000
31-Aug-2020	ALEPHA	Buy	NSE	5	952.000
31-Aug-2020	UNISPI	Buy	NSE	8	562.000
31-Aug-2020	GODCON	Buy	NSE	7	656.000
31-Aug-2020	GLEPHA	Buy	NSE	11	462.000
31-Aug-2020	STETEC	Buy	NSE	36	148.000
31-Aug-2020	AURPHA	Buy	NSE	6	832.000
31-Aug-2020	LARTOU	Buy	NSE	5	952.000
31-Aug-2020	KECIN	Buy	NSE	18	314.000
31-Aug-2020	MOTSUM	Buy	NSE	46	110.000
31-Aug-2020	HDFSTA	Buy	NSE	9	576.000
31-Aug-2020	NTPC	Buy	NSE	45	96.000
31-Aug-2020	HDFC	Buy	NSE	3	1802.000
31-Aug-2020	SHRCIT	Buy	NSE	6	902.000
31-Aug-2020	SBICAR	Buy	NSE	6	802.000
31-Aug-2020	KOTMAH	Buy	NSE	4	1402.000
31-Aug-2020	LUPIN	Buy	NSE	5	942.000
31-Aug-2020	MAHFIN	Buy	NSE	37	137.000
31-Aug-2020	GIC	Buy	NSE	35	146.000
31-Aug-2020	CUMIND	Buy	NSE	11	456.000
31-Aug-2020	LTFINA	Buy	NSE	73	68.200
31-Aug-2020	LUPIN	Buy	NSE	5	936.000

28-Aug-2020	PVRLIM	Sell	NSE	4	1396.000
28-Aug-2020	FUTRE	Sell	NSE	28	138.000
28-Aug-2020	CHOINV	Sell	NSE	24	252.000
28-Aug-2020	RURELE	Buy	NSE	50	110.000

27-Aug-2020	ICIBAN	Sell	NSE	13	396.000
27-Aug-2020	AXIBAN	Sell	NSE	11	469.000
27-Aug-2020	FUTRE	Sell	NSE	50	126.000
27-Aug-2020	FUTRE	Sell	NSE	50	130.000

26-Aug-2020	INDHO	Sell	NSE	24	223.000
26-Aug-2020	INDHO	Sell	NSE	22	222.000
26-Aug-2020	LTFINA	Sell	NSE	70	72.000
26-Aug-2020	INDBA	Sell	NSE	9	565.000

25-Aug-2020	TATMOT	Sell	NSE	50	125.000
25-Aug-2020	SHRCIT	Buy	NSE	5	932.000
25-Aug-2020	RBLBAN	Sell	NSE	29	194.000

24-Aug-2020	STESW	Sell	NSE	10	492.000
24-Aug-2020	STETEC	Sell	NSE	30	165.000
24-Aug-2020	HDFBAN	Sell	NSE	5	1100.000
24-Aug-2020	INTAVI	Buy	NSE	5	1162.000
24-Aug-2020	DILBUI	Buy	NSE	13	400.000

21-Aug-2020	NTPC	Sell	NSE	50	106.000
21-Aug-2020	PVRLIM	Buy	NSE	4	1302.000
21-Aug-2020	JINSP	Buy	NSE	24	225.000
21-Aug-2020	FUTRE	Buy	NSE	40	122.000

20-Aug-2020	ADATRA	Sell	NSE	20	260.000
20-Aug-2020	DIVLAB	Sell	NSE	2	3200.000
20-Aug-2020	HCLTEC	Buy	NSE	7	710.000
20-Aug-2020	POWFIN	Buy	NSE	50	100.000
20-Aug-2020	FUTRE	Buy	NSE	50	114.000

19-Aug-2020	MOTSUM	Buy	NSE	46	124.000
19-Aug-2020	ASHLEY	Buy	NSE	84	70.000
19-Aug-2020	CYILIM	Buy	NSE	12	395.000
19-Aug-2020	YESBAN	Sell	NSE	300	15.800
19-Aug-2020	GODIND	Sell	NSE	12	411.000
19-Aug-2020	FUTRE	Sell	NSE	45	118.000
19-Aug-2020	LUPIN	Sell	NSE	6	1000.000
19-Aug-2020	PVRLIM	Sell	NSE	4	1280.000
19-Aug-2020	RURELE	Sell	NSE	50	115.000
19-Aug-2020	POWFIN	Sell	NSE	50	97.000

17-Aug-2020	DILBUI	Sell	NSE	15	362.000
17-Aug-2020	STETEC	Sell	NSE	40	144.000
17-Aug-2020	GLEPHA	Sell	NSE	10	496.000
17-Aug-2020	EMALIM	Sell	NSE	14	345.000
17-Aug-2020	YESBAN	Buy	NSE	320	14.400

14-Aug-2020	TATMOT	Buy	NSE	40	124.000
14-Aug-2020	CHOINV	Sell	NSE	22	228.000
14-Aug-2020	CHOINV	Buy	NSE	24	222.000
14-Aug-2020	LARTOU	Sell	NSE	5	1010.000
14-Aug-2020	BHAELE	Sell	NSE	45	117.000
14-Aug-2020	BHAELE	Buy	NSE	45	114.000
14-Aug-2020	INDHO	Buy	NSE	24	202.000
14-Aug-2020	GODCON	Sell	NSE	7	705.000
14-Aug-2020	CADHEA	Sell	NSE	11	390.000
14-Aug-2020	AURPHA	Buy	NSE	5	875.000
14-Aug-2020	STABAN	Buy	NSE	24	200.000
14-Aug-2020	WIPRO	Sell	NSE	17	280.000
14-Aug-2020	ITC	Buy	NSE	25	196.000
14-Aug-2020	BAJFI	Buy	NSE	2	3312.000
14-Aug-2020	RBLBAN	Buy	NSE	29	175.000
14-Aug-2020	LUPIN	Sell	NSE	5	992.000
14-Aug-2020	SHRCIT	Sell	NSE	7	745.000
14-Aug-2020	LARTOU	Sell	NSE	5	1002.000
14-Aug-2020	JINSP	Buy	NSE	24	210.000
